TestDates,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,Total,kWh
2028-05-01,4675490.365860138,1506818.1502164933,1458301.2252478965,2599.9473208152335,32520171.30011967,332711.7687030524,1594005.2681992075,58242.94702781935,111431.45234961808,7586.261599845254,282.87725150877503,42560976.872962624,48854954.301564105
2028-06-01,4837864.171543574,1515623.0273260868,1530122.049698814,3331.7148073524377,32437787.29172092,330047.55370741227,1595394.817349783,59225.69453183921,119902.88190592093,7093.941160084624,403.2280388839396,43760005.85499265,49535353.46352347
2028-07-01,4650002.321263038,1492281.2749619414,1508730.6563071876,2604.63763126006,36470908.06134879,330129.7634485403,1600913.462493262,58348.21895566764,132183.74223307343,6179.649340838825,303.98585003710815,47309796.50999794,56239352.1408604
2028-08-01,4477312.350007066,1547833.362980706,1529211.5081766,2935.555437594103,37318938.54328608,330946.35512520757,1602429.2831359433,58661.09180526357,139144.9698020852,7002.558976021305,351.34737222574176,48293623.40086801,56559374.86821129
2028-09-01,4698934.371064774,1544504.7169778268,1559859.225081072,2819.5542791095118,35394741.26849047,330789.8385735977,1604170.2741464889,55453.039814594114,130839.3271540591,6985.4068411113485,420.9329656735239,46764594.2236381,54227584.664349854
2028-10-01,4618792.9417965375,1525302.5270274878,1507232.0130155012,2783.8957080686164,31650142.828956068,333322.5161190384,1608375.2422701577,63272.32491902485,129585.93360932938,7103.221711625627,470.0013008989709,40762341.69851277,47956488.151749104
2028-11-01,4773848.350781917,1510569.6525140118,1471904.7972409606,3037.386490872454,30214247.551009584,329161.2735121472,1609875.316872596,89409.77311984175,135305.0834733082,7111.39477925412,405.2280631854235,38783720.46078585,45411769.14148779
2028-12-01,4200183.001409666,1486924.7385063951,1513039.3729279435,2876.1516235929025,28791490.036566302,329954.1624503914,1612010.785590873,91410.28145962063,137289.72007295146,7026.190611542118,434.86475674108135,38704586.35040754,45432992.9099842
2029-01-01,4252536.143282268,1514390.3196483888,1543933.8499569257,2896.5496792007134,42495450.019805245,331402.73782670614,1613491.9226664444,115859.04284358317,133566.34518603154,7017.335315544042,95.76086196965542,50695495.47701367,59150294.95058753
2029-02-01,4057739.421507582,1510687.719979214,1528554.4565938124,2732.5306723638896,44939169.02105733,332120.9097201336,1622881.7400729384,115859.74619979951,142486.81348347053,11187.069230866666,170.85553344170899,55672068.23821305,63774730.89195318
2029-03-01,4206310.140012943,1521934.1289137953,1531867.799637096,3357.950176255181,51264649.47629636,331210.93874501437,1652114.221606861,444143.1760865041,145341.38725189702,7165.199782195826,167.53181246750233,60653047.59149976,70209757.95916243
2029-04-01,4642517.632743,1651916.0066943828,1558354.999890102,3370.696218517014,47734339.6911379,329362.74090489803,1628200.2335410998,45186.507525450914,141339.95658186532,7607.279924214809,158.87610209593498,58415537.98781147,67642719.52589488
2029-05-01,4832131.20384166,1607714.6060036884,1601654.1935788435,2846.497637992467,34406587.775619365,329298.06766627316,1631567.320569199,48956.302252665926,121217.58981770485,6814.185452923741,193.70864450215387,44845900.07962664,52332703.83528296
2029-06-01,4882540.602090197,1623714.3795922375,1629110.9866821682,2879.176335760932,35722952.00344691,325010.1384459326,1632517.7124334704,64452.060489369775,131308.3087218533,7101.102278911976,323.247873964042,47359103.86637893,54857764.25862059
2029-07-01,4712503.047777957,1602909.561689801,1603069.4053209878,3001.3309789418845,41470827.51510363,327266.1592503749,1637523.1549564216,89834.28420458632,146113.22146812006,7227.272535361703,94.19502588244943,50976573.55860672,59143801.15680591
2029-08-01,4598487.440741499,1639185.958449406,1631717.8881432672,3318.728447661454,41015807.937308885,327298.96388046985,1639517.1979050727,90269.35321499978,152779.37209582722,7111.913400420126,282.61294105742576,50118575.750566125,58241473.351470955
2029-09-01,4773446.224760996,1643680.6470973482,1628274.9466657308,2891.0661078910034,38952668.47837167,326395.2940735235,1641688.5716423774,91488.43678442761,144649.5360017043,7168.507149043945,151.55525068501782,50295246.22486847,58755993.14566908
2029-10-01,4755953.301092471,1622087.7952207092,1582762.7592419402,3412.821798523709,34721236.140933156,321154.7502537511,1645412.8202795526,66312.93475239119,141960.41246742374,6965.656970568258,273.4058331047412,46319678.50952755,52878577.377212204
2029-11-01,4806967.596376534,1608283.0368419273,1574418.3305320588,3403.7804960507015,32682401.29171944,322543.68370994844,1646971.7238203564,59215.95416468453,148074.7316530454,7296.999282209906,270.9420443405466,42504825.9750628,49281503.38812665
2029-12-01,4280371.485492371,1593920.7523307183,1613166.5753508043,2912.82801870011,34372837.47158923,333287.8491900342,1648725.0301622178,60088.695257052896,151958.21071571368,7398.816825545363,306.1103890842458,41797171.14002263,51165033.892517164
2030-01-01,4363513.867648415,1606274.41406337,1652632.3124503165,2867.8673357082967,47895538.262536325,325271.41917568294,1650260.9306146048,57437.91819417351,145314.09412139934,7317.251535352515,9.95664374791977,57964646.68848603,65525124.45011279
2030-02-01,4124273.815971135,1617959.8482191202,1662733.9325633638,2642.022842039007,48690721.3364151,325675.7372231272,1659246.1224985395,57680.283056068365,154453.4402851031,6953.586660335199,58.65629897935551,58026624.04381953,67605983.12844718
2030-03-01,4235306.9270745125,1616024.0392331944,1653029.00363023,3625.381965952564,53823458.80675298,326020.01388400863,1689164.381164707,110605.6474796545,157259.476586887,6954.746827349183,89.5319275223259,63613612.930401176,74264633.98479457
